类别,中文,英文,Notes,,,,
系统标题,汉籍流传可视化,Chinese Classics Circulation,系统名称：待定,,,,
视图标题,图,Hierarchical Graph,,,,,
,时间线,Timeline,,,,,
,地图,Geographic Map,,,,,
书目类型,经,Scriptures,,,,,
,史,History,,,,,
,子,Songs,,,,,
,集,Collected Works,,,,,
机构类型,机构类型,organization type,机构 Library? Organization? Institution?,,,,
,皇家,Royal family,,,,,
,公家,Public family,政府机构,,,,
,大学,college,,,,,
,寺廟,temple,,,,,
,私人,private,,,,,
,不详,unknown,,,,,
人物类型,人物类型,character type,人物 character? agent? figure?,,,,
,皇室,royal family,,,,,
,官員,official,,,,,
,學者,scholar,,,,,
,僧侶,monk,,,,,
,商人,businessmen,,,,,
,不详,unkonwn,,,,,
时间轴（年代划分）,时间（公元）,Time (AD),,,,,
,宋,Song,,,,,
,元,Yuan,,,,,
,明,Ming,,,,,
,清,Qing,,,,,
,民国,Republic of China,,,,,
,平安,Heian Period,,,,,
,镰仓,Kamakura Period,,,,,
,南北朝,North and South Dynasties,,,,,
,室町,Muromachi Period,,,,,
,江户,Edo Period,,,,,
,明治,Meiji Period,,,,,
,大正,Taisho Period,,,,,
,昭和,Showa Period,,,,,
Location,日本滋賀縣蒲生郡日野町,"Hino-cho, Gamo-gun, Shiga Prefecture, Japan",,,,,
,日本福井縣?,"Fukui Prefecture, Japan?",,,,,
,安徽省當塗縣,"Dangtu County, Anhui Province",,,,,
,浙江省杭州市西湖區,"Xihu District, Hangzhou City, Zhejiang Province",,,,,
,日本大分縣佐伯市,"Saiki City, Oita Prefecture, Japan",,,,,
,四川成都,"Chengdu, Sichuan",,,,,
,浙江東陽,"Dongyang, Zhejiang Province",,,,,
,江南,Jiangnan,,,,,
,日本京都府京都市上京區,"Kamigyo Ward, Kyoto City, Kyoto Prefecture, Japan",,,,,
,日本神奈川縣橫濱市戶塚區,"Totsuka Ward, Yokohama City, Kanagawa Prefecture, Japan",,,,,
,河北正定,"Zhengding, Hebei",,,,,
,江西省南昌市,"Nanchang City, Jiangxi Province",,,,,
,福建建甌,"Jianou City, Fujian Province",,,,,
,福建省建瓯市,"Jian 'ou City, Fujian Province",,,,,
,上海市青浦縣,"Qingpu County, Shanghai",,,,,
,陝西安康,"Ankang, Shaanxi Province",,,,,
,江蘇省張家港市,"Zhangjiagang City, Jiangsu Province",,,,,
,福建南平市建陽區,"Jianyang District, Nanping City, Fujian Province",,,,,
,日本京都八幡市,"Yawata City, Kyoto, Japan",,,,,
,日本東京都千代田區霞关,"Kasumigaseki, Chiyoda Ward, Tokyo, Japan",,,,,
,日本福井縣福井市,"Fukui City, Fukui Prefecture, Japan",,,,,
,日本四國高知縣,"Kochi Prefecture, Shikoku, Japan",,,,,
,日本東京紅葉山,"Momijiyama Mountain, Tokyo, Japan",,,,,
,日本京都府京都右京區嵯峨北堀町,"Sagakitabori-cho, Ukyo Ward, Kyoto City, Kyoto Prefecture, Japan",,,,,
,朝鮮半島,Korean peninsula,,,,,
,浙江寧波,"Ningbo, Zhejiang",,,,,
,廣東肇慶,"Zhaoqing, Guangdong",,,,,
,朝鮮開城市,"Kaesong, North Korea",,,,,
,日本岡山縣岡山市?,"Okayama, Okayama Prefecture, Japan?",,,,,
,福建省南平市建陽區,"Jianyang District, Nanping City, Fujian Province",,,,,
,日本東京都台東區藏前町,"Kuramae-cho, Taito Ward, Tokyo, Japan",,,,,
,日本京都府京都市東山區本町,"Honmachi, Higashiyama Ward, Kyoto City, Kyoto Prefecture, Japan",,,,,
,安徽省舒縣,"Shu County, Anhui Province",,,,,
,福建,Fujian Province,,,,,
,江西吉州安福縣,Jiangxi Jizhou Anfu County,,,,,
,日本京都府京都右京區南禪寺,"Nanzenji Temple, Ukyo Ward, Kyoto City, Kyoto Prefecture, Japan",,,,,
,日本東京文京區湯島,"Yushima, Bunkyo Ward, Tokyo, Japan",,,,,
,日本京都府京都市右京區,"Ukyo Ward, Kyoto City, Kyoto Prefecture, Japan",,,,,
,日本東京都港區赤坂離宮,"Akasakarikyu, Minato Ward, Tokyo, Japan",,,,,
,日本京都府京都市北區,"Kita Ward, Kyoto City, Kyoto Prefecture, Japan",,,,,
,日本滋賀縣東山道地區,"Tosando area, Shiga Prefecture, Japan",,,,,
,日本東京都文京區,"Bunkyo Ward, Tokyo, Japan",,,,,
,浙江中部,Central Zhejiang,,,,,
,日本東京都千代田區千代田,"Chiyoda, Chiyoda Ward, Tokyo, Japan",,,,,
,湖北陽新,"Yangxin, Hubei Province",,,,,
,江西省贛州市,"Ganzhou City, Jiangxi Province",,,,,
,日本東京台東區淺草,"Asakusa, Taito Ward, Tokyo, Japan",,,,,
,日本東京都台東區上野,"Ueno, Taito Ward, Tokyo, Japan",,,,,
,江西省吉安市,"Ji 'an City, Jiangxi Province",,,,,
,日本京都府京都右京區嵯峨,"Saga, Ukyo Ward, Kyoto City, Kyoto Prefecture, Japan",,,,,
,江蘇省蘇州市,"Suzhou, Jiangsu Province",,,,,
,韓國首爾,"Seoul, South Korea",,,,,
,日本東京都千代田區神田佐久間町,"Kandasakuma-cho, Chiyoda Ward, Tokyo, Japan",,,,,
,浙江紹興,"Shaoxing, Zhejiang Province",,,,,
,朝鮮坡平？,"Papyeong, North Korea?",,,,,
,浙江省杭州市,"Hangzhou City, Zhejiang Province",,,,,
