,Chinese,English
0,建安,Jian 'an
1,張世南,Zhang Shinan
2,日本東京都千代田區神田佐九間町,"Sakuma Kanda, Chiyoda Ward, Tokyo, Japan"
3,蘇天爵,Su Tianjue
4,編撰,compile
5,黃雪書屋,Yellow Snow Library
6,日本-滋賀-東山道地區,Japan - Shiga - Higashiyama area
7,霞亭,xiatin
8,心華元棣,Heart Hua Yuan Di
9,王荊文公詩,The poems of Wang Jing and Wen Gong
10,村西集,Cun Xiji
11,東坡集,Dongpo collection
12,其他,other
13,中國-福建-南平-建陽,China - Fujian - Nanping - Jianyang
14,不详,unknown
15,收藏/進獻,Collect/dedicate
16,中國-四川-成都,China - Sichuan - Chengdu
17,學習院,Academy of Learning
18,日本明治七年後,Seven years after the Meiji period
19,龍眠庵,Longmian nunnery
20,文化二年-明治元年,Culture Year Two - The First year of Meiji
21,普門院,Pumen courtyard
22,南禪寺金地院,Nanzen Temple Jindi Courtyard
23,撰/編次/補注,Make/compile/supplement
24,東京臺東區上野公園北,"Ueno Park North, Taidong District, Tokyo"
25,謙牧堂,Chamomido
26,狩谷棭齋求古樓,Inaugural valley 棭 lent the ancient building
27,寬政中,Hiromasaka
28,日本弘化四年至明治十七年,Japan Honghua four years to seventeen years Meiji
29,日本東京台東區淺草,"Asakusa, Taiku, Tokyo, Japan"
30,倪士毅,Ni Shiyi
31,日本親町天皇永祿九年-後陽城天皇天正十九年,Nine years of Emperor Nagroku of Chimachi Japan - Nineteen years of Emperor Tensho of Hougyo Castle
32,多紀元孝,Multigenerational filial piety
33,南宋紹興年間,The Shaoxing Period of the Southern Song Dynasty
34,十七史詳節,Seventeen sections of history
35,毛利高標,High margin
36,浙江紹興,"Shaoxing, Zhejiang Province"
37,紹熙年間,Shaoxi period
38,1855,1855
39,天保八年丁酉歲八月十一日,Tianbao eight years old Ding you August 11
40,德川家齊,Tokugawa Ieki
41,日本近江國蒲生郡仁正寺,"Insho Temple, Pusei Prefecture, Kanjiangguo, Japan"
42,朝鮮世宗十一年,The eleventh year of Sejong of Korea
43,元至元間,Between the yuan and the yuan
44,呂氏家塾讀詩記,Lu's family school read poetry
45,浙江杭州,"Hangzhou, Zhejiang"
46,日本-東京-千代田-皇居,Japan - Tokyo - Chiyoda - Imperial Palace
47,元至正二年,Yuan to Zheng two years
48,日本-東京-中心皇宮內舊御府圖書館,Japan - Tokyo - Central Imperial Palace Old Imperial Palace Library
49,陳齊巖,Chen Qiyan
50,余志安,Yu Zhi 'an
51,天祿琳瑯,The heavens are full of riches
52,天龍寺鹿王院,Tianlong Temple Deer King courtyard
53,觀閱,Watch and read
54,日本-東京-紅葉山,Japan - Tokyo - Kaya Hill
55,幕府?,The shogunate?
56,河北正定,"Zhengding, Hebei"
57,樋口光義,Higuchi Higuchi
58,日本-東京-臺東-上野公園北,Japan - Tokyo - Taitung - Ueno Park North
59,狩谷望之,Hunt the grain and hope for it
60,日本東京豐島區,"Toshima Ward, Tokyo, Japan"
61,楊氏家藏方,Yang's family Tibetan prescription
62,興國軍,Xingguo army
63,寬政九年以後,After nine years of leniency
64,日本-東京-豐島,Japan - Tokyo - Toshima
65,楓山文庫,Fengshan Bunko
66,溥儀/日本天皇,Pu Yi/The Emperor of Japan
67,嘉永二年至昭和四年之間,Between the second year of Jiayong and the fourth year of Zhaohe
68,日本-奈良,"Nara, Japan"
69,明治八年以後,After the eighth year of Meiji Period
70,鈔補,Banknote replacement
71,杜佑,Du You
72,宮内省書陵部,The imperial department of the book Mausoleum department
73,明治2年,Meiji 2 years
74,弘安五年后,Five years after Hongan
75,京都高山寺,Takayama Temple in Kyoto
76,學者,scholar
77,釋法應/釋普惠,The interpretation of the Fa should be/the interpretation of the Pu Hui
78,注,note
79,明嘉靖,Ming Jiajing
80,中州集,Zhongzhou collection
81,無學祖元,There is no learning ancestor
82,汪啟淑,Wang Qishu
83,中國-浙江,"Zhejiang, China"
84,日本寬政五年後,Five years after the Japanese leniency
85,國立公文書館,National Archives
86,日本明治七年七月後,After the Meiji period in July
87,館機(名機，字樞卿),"Pavilion machine (first name machine, Chinese character Shuqing)"
